Package,File,Line,CC
jsat.classifiers.svm,/classifiers/svm/DCDs.java,58,122 (highest 28)
jsat.classifiers.svm,/classifiers/svm/DCDs.java,312,28
jsat.classifiers.svm,/classifiers/svm/DCDs.java,517,27
jsat.classifiers.svm,/classifiers/svm/DCDs.java,678,11
jsat.classifiers.svm.extended,/classifiers/svm/extended/OnlineAMM.java,278,33
jsat.classifiers.svm.extended,/classifiers/svm/extended/AMM.java,119,10
jsat.classifiers.svm.extended,/classifiers/svm/extended/CPM.java,319,20
jsat.classifiers.svm.extended,/classifiers/svm/extended/CPM.java,413,10
jsat.classifiers.svm,/classifiers/svm/DCD.java,383,10
jsat.classifiers.svm,/classifiers/svm/DCSVM.java,238,19
jsat.classifiers.boosting,/classifiers/boosting/Stacking.java,237,11
jsat.classifiers.boosting,/classifiers/boosting/AdaBoostM1.java,146,12
jsat.classifiers.boosting,/classifiers/boosting/ModestAdaBoost.java,154,14
jsat.classifiers.boosting,/classifiers/boosting/SAMME.java,83,10
jsat.classifiers.bayesian,/classifiers/bayesian/NaiveBayesUpdateable.java,143,13
jsat.classifiers.bayesian.graphicalmodel,/classifiers/bayesian/graphicalmodel/K2NetworkLearner.java,63,12
jsat.classifiers.bayesian,/classifiers/bayesian/NaiveBayes.java,200,13
jsat.classifiers.bayesian,/classifiers/bayesian/MultinomialNaiveBayes.java,257,12
jsat.classifiers,/classifiers/ClassificationDataSet.java,20,81 (highest 9)
jsat.distributions.kernels,/distributions/kernels/KernelPoint.java,40,90 (highest 25)
jsat.distributions.kernels,/distributions/kernels/KernelPoint.java,416,25
jsat.distributions.kernels,/distributions/kernels/GeneralRBFKernel.java,122,14
jsat.distributions.kernels,/distributions/kernels/KernelPoints.java,19,89 (highest 39)
jsat.distributions.kernels,/distributions/kernels/KernelPoints.java,355,39
jsat.distributions.multivariate,/distributions/multivariate/ProductKDE.java,131,11
jsat.distributions.discrete,/distributions/discrete/DiscreteDistribution.java,87,10
jsat.distributions.empirical,/distributions/empirical/KernelDensityEstimator.java,408,14
jsat.distributions,/distributions/DistributionSearch.java,76,12
jsat.outlier,/outlier/IsolationForest.java,131,11
